Galaxy,new_Redshift
NGC 1068,0.003793
M31,0.000282
M33,0.000921
M51,0.000801
M81,0.00068
M82,0.000677
NGC 253,0.000823
NGC 300,0.000811
NGC 891,0.002592
NGC 1365,0.0055
NGC 1566,0.005473
NGC 1672,0.004767
NGC 2442,0.0035
NGC 2903,0.002245
NGC 2997,0.002025
NGC 3031,0.000804
NGC 3627,0.002346
NGC 4258,0.001548
NGC 4414,0.001552
NGC 4559,0.001776
NGC 4565,0.002528
NGC 4725,0.004092
NGC 5194,0.001497
NGC 5457,0.000674
NGC 5907,0.002224
NGC 6946,0.000927
NGC 7331,0.002045
UGC 1922,0.0035
UGC 2855,0.0046
